PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
1830	PHI:1830	Uniprot	I1RUJ4	FGSG_07889	PH-1	GzZC145			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1831	PHI:1831	Uniprot	I1RHT9	FGSG_03353	PH-1	GzZC146			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1832	PHI:1832	Uniprot	I1RH29	FGSG_03068	PH-1	GzZC147			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1833	PHI:1833	Uniprot	I1RK16	FGSG_04203	PH-1	GzZC148			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1834	PHI:1834	Uniprot	I1RP23	FGSG_05772	PH-1	GzZC149			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1835	PHI:1835	Uniprot	I1RIL1	FGSG_03649	PH-1	GzZC150			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1836	PHI:1836	Uniprot	I1RFH1	FGSG_02445	PH-1	GzZC151			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					reduced	defective	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1837	PHI:1837	Uniprot	I1RFF7	FGSG_02431	PH-1	GzZC152			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1838	PHI:1838	Uniprot	I1RGC8	FGSG_02787	PH-1	GzZC153			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1839	PHI:1839	Uniprot	I1RDM2	FGSG_01731	PH-1	GzZC154			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1840	PHI:1840	Uniprot	I1RQV9	FGSG_06460	PH-1	GzZC155			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1841	PHI:1841	Uniprot	I1RIY6	FGSG_03783	PH-1	GzZC156			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1842	PHI:1842	Uniprot	I1RBA2	FGSG_00813	PH-1	GzZC157			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1843	PHI:1843	Uniprot	I1S4X3	FGSG_11891	PH-1	GzZC158			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1844	PHI:1844	Uniprot	I1S708	FGSG_12631	PH-1	GzZC159			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1845	PHI:1845	Uniprot	I1S4B6	FGSG_11683	PH-1	GzZC160			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1846	PHI:1846	Uniprot	I1S7A6	FGSG_12729	PH-1	GzZC161			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1847	PHI:1847	Uniprot	I1RYK8	FGSG_09464	PH-1	GzZC162			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1848	PHI:1848	Uniprot	I1RXV1	FGSG_09177	PH-1	GzZC163			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1849	PHI:1849	Uniprot	I1S0N2	FGSG_10266	PH-1	GzZC164			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1850	PHI:1850	Uniprot	I1RXK9	FGSG_09080	PH-1	GzZC165			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1851	PHI:1851	Uniprot	I1RXJ3	FGSG_09064	PH-1	GzZC166			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1852	PHI:1852	Uniprot	I1S170	FGSG_10468	PH-1	GzZC167			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1853	PHI:1853	Uniprot	I1RXZ8	FGSG_09225	PH-1	GzZC168			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1854	PHI:1854	Uniprot	I1S054	FGSG_10070	PH-1	GzZC169			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1855	PHI:1855	Uniprot	I1S611	FGSG_12282	PH-1	GzZC170			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1856	PHI:1856	Uniprot	I1S377	FGSG_11247	PH-1	GzZC171			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1857	PHI:1857	Uniprot	I1S3I1	FGSG_11364	PH-1	GzZC172			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1858	PHI:1858	Uniprot	I1S3H6	FGSG_11358	PH-1	GzZC173			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1859	PHI:1859	Uniprot	I1S3H3	FGSG_11355	PH-1	GzZC174			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1860	PHI:1860	Uniprot	I1RVR1	FGSG_08349	PH-1	GzZC175			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1861	PHI:1861	Uniprot	I1RUV3	FGSG_08010	PH-1	GzZC176			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1862	PHI:1862	Uniprot	I1RL97	FGSG_04683	PH-1	GzZC177			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1863	PHI:1863	Uniprot	I1RL85	FGSG_04671	PH-1	GzZC178			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1864	PHI:1864	Uniprot	I1SAX2	FGSG_14003	PH-1	GzZC179			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1865	PHI:1865	Uniprot	I1S9C5	FGSG_13455	PH-1	GzZC180			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1866	PHI:1866	Uniprot	I1S5J4	FGSG_12115	PH-1	GzZC181			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1867	PHI:1867	Uniprot	I1RL02	FGSG_04576	PH-1	GzZC182			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1868	PHI:1868	Uniprot	I1RKR4	FGSG_04480	PH-1	GzZC183			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	defective	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1869	PHI:1869	Uniprot	I1RDY4	FGSG_01853	PH-1	GzZC184			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1870	PHI:1870	Uniprot	I1RDS9	FGSG_01795	PH-1	GzZC185			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1871	PHI:1871	Uniprot	I1RTX0	FGSG_07638	PH-1	GzZC186			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1872	PHI:1872	Uniprot	I1RTU2	FGSG_07609	PH-1	GzZC187			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Lethal													gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1873	PHI:1873	Uniprot	I1RTT8	FGSG_07604	PH-1	GzZC188			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1874	PHI:1874	Uniprot	I1RTS5	FGSG_07591	PH-1	GzZC189			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1875	PHI:1875	Uniprot	I1RTS3	FGSG_07589	PH-1	GzZC190			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1876	PHI:1876	Uniprot	I1RD28	FGSG_01515	PH-1	GzZC191			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1877	PHI:1877	Uniprot	I1RPI7	FGSG_05958	PH-1	GzZC192			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1878	PHI:1878	Uniprot	I1RPF6	FGSG_05925	PH-1	GzZC193			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1879	PHI:1879	Uniprot	I1RJB8	FGSG_03929	PH-1	GzZC194			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1880	PHI:1880	Uniprot	I1RJB0	FGSG_03919	PH-1	GzZC195			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1881	PHI:1881	Uniprot	I1RJA3	FGSG_03912	PH-1	GzZC196			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1882	PHI:1882	Uniprot	I1RJ84	FGSG_03892	PH-1	GzZC197			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1883	PHI:1883	Uniprot	I1RJ71	FGSG_03878	PH-1	GzZC198			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1884	PHI:1884	Uniprot	I1RJ58	FGSG_03861	PH-1	GzZC199			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1885	PHI:1885	Uniprot	I1RJ54	FGSG_03857	PH-1	GzZC200			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1886	PHI:1886	Uniprot	I1RU19	FGSG_07693	PH-1	GzZC201			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1887	PHI:1887	Uniprot	I1RHZ6	FGSG_03415	PH-1	GzZC202			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1888	PHI:1888	Uniprot	I1RHY2	FGSG_03399	PH-1	GzZC203			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1889	PHI:1889	Uniprot	I1RHX4	FGSG_03390	PH-1	GzZC204			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1890	PHI:1890	Uniprot	I1RTH7	FGSG_07482	PH-1	GzZC205			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1891	PHI:1891	Uniprot	I1RRM0	FGSG_06750	PH-1	GzZC206			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1892	PHI:1892	Uniprot	I1RRH8	FGSG_06699	PH-1	GzZC207			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1893	PHI:1893	Uniprot	I1RNY0	FGSG_05725	PH-1	GzZC208			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1894	PHI:1894	Uniprot	I1RNX2	FGSG_05716	PH-1	GzZC209			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1895	PHI:1895	Uniprot	I1RNU2	FGSG_05682	PH-1	GzZC210			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
1896	PHI:1896	Uniprot	I1RNR1	FGSG_05646	PH-1	GzZC211			5518	Gibberella zeae (related: Fusarium graminearum)	GZ3639	Fusarium ear blight	Monocot	4564	Wheat	transcription factor				Unaffected pathogenicity					wild type	wild type	wild type						gene deletion	MU	MU			10.1371/journal.ppat.1002310	
